constellation,environment,elevation_deg,cn0_dbhz,num_satellites,pdop,position_error_m,multipath_index
BeiDou,Urban Canyon,38.38,34.37,7,2.768,4.3859,0.648
GLONASS,Urban Canyon,41.63,29.82,6,2.202,6.0322,0.4685
GPS,Open Sky,48.62,40.02,15,1.383,1.1823,0.0769
BeiDou,Urban Canyon,14.63,29.2,7,4.827,4.8591,0.4469
BeiDou,Urban Canyon,41.58,29.27,8,3.554,5.3868,0.575
Galileo,Open Sky,56.15,41.51,11,4.529,4.5123,0.5623
GPS,Urban Canyon,12.63,29.23,8,4.34,4.6081,0.7383
GLONASS,Urban Canyon,14.26,35.52,6,5.872,5.6991,0.3704
GPS,Open Sky,28.81,39.13,11,2.861,0.3319,0.3935
GPS,Urban Canyon,34.8,41.32,4,3.092,6.1163,0.7112
GPS,Open Sky,31.2,41.75,10,3.204,1.5655,0.269
GLONASS,Urban Canyon,22.78,47.82,7,3.849,4.8495,0.5556
GLONASS,Urban Canyon,32.55,26.9,4,1.87,4.2004,0.4584
GLONASS,Urban Canyon,42.26,30.98,5,4.34,6.1628,0.5867
GLONASS,Open Sky,68.34,50.28,10,1.398,0.901,0.0897
Galileo,Urban Canyon,28.42,44.23,6,5.086,3.8297,0.3562
Galileo,Open Sky,38.24,44.5,15,2.896,1.7402,0.1395
GPS,Open Sky,31.58,41.77,10,1.968,2.8403,0.1893
GPS,Open Sky,43.95,39.85,12,1.137,0.8304,0.0272
GLONASS,Urban Canyon,36.66,28.66,5,5.253,6.1147,0.7328
Galileo,Open Sky,28.05,40.26,11,2.296,0.3063,0.0541
Galileo,Open Sky,65.41,35.61,9,1.625,1.7698,0.121
GLONASS,Urban Canyon,45.83,36.02,7,1.5,3.6188,0.5739
GLONASS,Open Sky,50.11,41.19,14,1.895,3.1268,0.1122
Galileo,Open Sky,43.64,42.67,13,2.144,0.5666,0.0842
Galileo,Open Sky,40.17,45.2,12,2.77,1.4918,0.2075
GPS,Open Sky,59.55,45.62,14,1.596,1.6018,0.1017
GPS,Urban Canyon,36.53,47.97,10,3.674,3.4739,0.7959
Galileo,Open Sky,41.29,33.58,10,1.761,1.8345,0.1231
GPS,Open Sky,33.48,41.73,11,1.51,1.1932,0.0731
Galileo,Urban Canyon,38.42,25.14,7,3.638,7.0766,0.5198
BeiDou,Urban Canyon,21.29,35.82,9,4.551,4.4649,0.5926
GPS,Urban Canyon,10.53,34.31,4,4.034,5.9728,0.4333
GPS,Urban Canyon,30.52,40.36,8,4.543,2.7797,0.6916
GPS,Urban Canyon,46.86,33.47,9,3.153,4.2261,0.6501
GPS,Open Sky,55.19,35.77,12,1.623,2.9335,0.2643
GLONASS,Urban Canyon,14.97,30.22,7,1.5,5.1762,0.7048
Galileo,Urban Canyon,27.91,32.73,7,3.213,4.7184,0.4778
GLONASS,Open Sky,26.36,37.96,10,2.537,1.9971,0.0426
GLONASS,Open Sky,20.95,44.34,7,1.746,2.5306,0.2151
Galileo,Open Sky,49.28,40.54,13,1.712,1.5579,0.0638
BeiDou,Urban Canyon,25.18,31.95,6,5.339,5.3647,0.4509
GPS,Urban Canyon,11.87,36.11,8,4.369,2.6381,0.5329
GPS,Urban Canyon,48.2,34.69,7,2.39,3.7021,0.698
GPS,Open Sky,50.89,37.64,14,1.712,0.7502,0.0573
GLONASS,Open Sky,38.19,43.36,10,1.468,2.0231,0.0319
Galileo,Open Sky,41.39,44.81,12,2.235,0.3134,0.0964
GPS,Open Sky,57.29,38.14,8,1.838,2.8838,0.1263
Galileo,Urban Canyon,6.27,33.92,9,3.031,3.4417,0.9774
GPS,Urban Canyon,26.65,32.91,9,3.181,2.9311,0.4515
GLONASS,Urban Canyon,23.23,31.79,7,7.011,5.5076,0.6148
Galileo,Urban Canyon,37.83,33.66,4,3.035,4.6181,0.2811
Galileo,Urban Canyon,14.95,38.12,6,2.268,3.0704,0.6522
GPS,Open Sky,29.75,36.7,14,3.006,3.1444,0.1472
GLONASS,Open Sky,33.27,40.38,11,2.553,0.5781,0.0565
Galileo,Open Sky,36.22,48.06,13,1.761,0.4911,0.0696
GPS,Open Sky,43.49,35.09,13,3.094,3.5203,0.0821
GPS,Open Sky,24.47,39.62,9,2.417,1.6917,0.2226
BeiDou,Open Sky,54.91,43.32,10,2.091,0.9342,0.1054
BeiDou,Urban Canyon,22.55,34.68,8,4.306,4.6494,0.2926
GLONASS,Open Sky,35.51,47.53,10,1.632,2.3267,0.2509
GPS,Urban Canyon,13.99,35.15,6,7.206,7.6215,0.7468
BeiDou,Urban Canyon,46.43,34.84,5,5.229,4.3735,0.8485
GLONASS,Urban Canyon,32.27,38.72,6,2.807,4.6483,0.6291
GLONASS,Urban Canyon,22.27,27.17,10,3.993,5.0854,0.6587
Galileo,Open Sky,39.15,38.96,13,2.478,1.4452,0.1689
GPS,Urban Canyon,29.61,32.3,7,3.545,5.7138,0.7209
GPS,Open Sky,6.63,46.69,7,1.939,2.3547,0.1006
BeiDou,Urban Canyon,32.17,37.0,7,2.343,3.5791,0.5922
Galileo,Open Sky,54.48,41.76,10,2.232,2.3768,0.3115
GPS,Open Sky,38.71,41.93,8,3.146,2.4942,0.082
GPS,Urban Canyon,28.92,28.53,10,3.477,5.2265,0.691
Galileo,Urban Canyon,41.91,40.44,7,2.107,2.8407,0.7888
GPS,Open Sky,19.41,42.0,11,1.544,1.3972,0.123
BeiDou,Urban Canyon,39.93,29.85,7,3.34,4.8205,0.7355
GLONASS,Open Sky,29.5,42.37,9,1.384,2.6383,0.2695
GLONASS,Urban Canyon,55.93,35.2,7,2.437,3.3707,0.6096
Galileo,Open Sky,40.01,41.05,10,1.387,1.8263,0.054
GLONASS,Open Sky,41.55,38.08,8,1.77,2.3395,0.1065
Galileo,Open Sky,34.11,47.76,10,1.891,0.1,0.0828
GLONASS,Open Sky,62.99,43.44,11,1.509,3.4005,0.2833
GPS,Open Sky,41.92,45.8,12,3.112,1.5471,0.1055
Galileo,Open Sky,51.83,48.89,11,1.0,2.674,0.2228
GPS,Open Sky,27.47,42.84,14,2.475,1.9204,0.198
Galileo,Open Sky,36.61,35.67,14,3.224,0.5323,0.1293
GPS,Open Sky,37.08,39.35,9,2.23,2.6976,0.1682
GPS,Open Sky,52.06,37.82,11,1.627,0.6814,0.032
GPS,Urban Canyon,23.99,26.97,4,4.47,5.0862,0.7055
Galileo,Urban Canyon,33.86,31.69,10,3.681,3.6901,0.5214
GPS,Open Sky,64.36,42.17,14,2.248,2.8634,0.132
BeiDou,Urban Canyon,13.44,32.97,6,3.588,5.0527,0.5498
Galileo,Open Sky,38.62,33.39,15,2.522,2.1443,0.1185
GPS,Open Sky,74.47,49.04,12,2.087,2.5784,0.1227
Galileo,Urban Canyon,35.51,40.31,6,3.523,2.2504,0.5456
GPS,Urban Canyon,39.53,37.05,7,3.387,5.0377,0.4347
BeiDou,Urban Canyon,42.73,30.44,8,3.105,4.6289,0.6254
Galileo,Open Sky,44.37,39.46,13,1.451,1.0627,0.0343
GLONASS,Urban Canyon,25.95,28.46,7,5.387,7.1723,0.8429
GPS,Open Sky,50.17,41.45,12,1.689,2.3492,0.2671
Galileo,Open Sky,47.92,36.02,11,1.889,1.304,0.0671
Galileo,Open Sky,52.75,43.41,11,1.09,0.6813,0.1217
BeiDou,Urban Canyon,23.78,34.05,6,3.676,5.4057,0.8703
Galileo,Open Sky,58.64,45.37,9,1.181,1.6337,0.0681
Galileo,Urban Canyon,42.51,32.78,8,4.064,4.7064,0.5352
GPS,Urban Canyon,30.65,28.74,7,3.662,5.4595,0.586
GPS,Urban Canyon,26.3,28.16,11,3.701,5.928,0.6978
Galileo,Urban Canyon,28.89,34.46,8,4.078,4.6633,0.6799
Galileo,Urban Canyon,17.12,31.9,8,4.31,3.7783,0.7356
GPS,Open Sky,42.18,47.02,10,1.448,1.6094,0.0357
BeiDou,Open Sky,64.35,39.9,9,1.826,0.7056,0.2207
BeiDou,Urban Canyon,10.25,32.92,5,3.714,5.6098,0.4461
GPS,Open Sky,33.19,44.31,11,1.751,2.1029,0.1226
Galileo,Open Sky,34.83,46.25,9,1.614,2.5735,0.1093
GPS,Open Sky,51.3,46.4,9,1.637,0.8579,0.1639
GLONASS,Open Sky,43.48,40.1,9,1.336,3.1989,0.0878
GPS,Open Sky,61.97,42.29,13,1.307,1.5727,0.0796
GLONASS,Open Sky,55.08,43.89,12,3.123,4.3197,0.0359
GLONASS,Urban Canyon,16.63,31.3,9,3.194,5.5996,0.5791
GLONASS,Open Sky,60.77,48.16,10,1.586,1.086,0.3772
GPS,Urban Canyon,28.59,33.88,7,3.837,4.733,0.7278
BeiDou,Urban Canyon,6.22,32.81,8,3.436,4.8125,0.685
GPS,Open Sky,26.77,40.07,11,1.883,0.4208,0.1254
GPS,Urban Canyon,44.65,39.15,10,5.826,5.4067,0.8277
Galileo,Urban Canyon,26.12,33.17,11,8.0,5.0162,0.8611
Galileo,Urban Canyon,28.63,38.34,7,2.269,4.1602,0.5267
BeiDou,Open Sky,13.15,47.48,11,2.152,1.2099,0.1929
BeiDou,Open Sky,38.9,44.69,10,1.194,0.859,0.0887
GPS,Open Sky,55.3,47.4,12,2.052,0.6412,0.2623
BeiDou,Urban Canyon,24.92,25.64,4,2.405,5.7668,0.6176
GPS,Urban Canyon,11.18,38.48,7,3.298,4.8316,0.6421
Galileo,Urban Canyon,38.89,35.07,8,2.182,2.3322,0.5181
GPS,Urban Canyon,5.31,49.02,6,2.537,3.1322,0.5332
BeiDou,Urban Canyon,12.14,39.62,4,2.96,4.86,0.6542
GPS,Urban Canyon,30.48,37.75,7,3.313,5.4206,0.5029
GPS,Open Sky,56.29,47.4,14,1.439,0.2016,0.0345
Galileo,Urban Canyon,34.3,30.69,6,5.263,6.2088,0.3525
BeiDou,Open Sky,28.41,42.03,6,2.509,3.4498,0.2446
BeiDou,Open Sky,50.26,39.43,11,1.503,0.1,0.1512
GLONASS,Open Sky,47.23,40.4,13,2.041,1.4428,0.2039
BeiDou,Urban Canyon,30.17,38.18,5,5.358,5.5964,0.2065
BeiDou,Open Sky,51.98,40.43,12,1.0,1.0233,0.2607
Galileo,Open Sky,67.63,34.61,9,1.223,1.9006,0.1242
GPS,Open Sky,48.46,39.78,11,1.0,0.3847,0.0879
GLONASS,Open Sky,47.37,37.15,12,2.389,2.6814,0.2015
GLONASS,Open Sky,51.47,31.45,12,1.138,2.2914,0.1227
Galileo,Urban Canyon,20.16,43.59,6,4.298,7.1901,0.3831
GPS,Urban Canyon,16.3,28.49,7,3.911,6.4254,0.6799
GLONASS,Open Sky,52.07,41.1,13,1.954,2.6238,0.1563
GPS,Open Sky,37.83,41.12,14,1.875,0.9298,0.2121
BeiDou,Open Sky,48.99,36.17,10,1.541,1.2223,0.5579
GPS,Open Sky,43.47,41.94,11,2.046,2.3014,0.1305
GPS,Urban Canyon,22.51,26.07,9,4.408,4.3118,0.8461
BeiDou,Urban Canyon,27.46,35.59,6,5.213,6.3816,0.654
GPS,Urban Canyon,27.91,27.59,9,3.815,6.4991,0.5991
GPS,Open Sky,62.7,41.67,10,1.777,2.1567,0.1037
Galileo,Urban Canyon,24.8,41.87,8,3.192,4.2327,0.7389
BeiDou,Open Sky,60.42,41.24,10,1.077,1.237,0.0143
GPS,Open Sky,48.59,44.65,10,3.061,2.2699,0.1538
GPS,Urban Canyon,26.32,23.99,10,5.36,5.4394,0.6574
GLONASS,Urban Canyon,23.04,32.25,5,4.356,5.2746,0.7506
BeiDou,Urban Canyon,26.41,32.29,9,2.574,5.4169,0.2955
Galileo,Urban Canyon,12.61,31.97,7,5.016,4.7169,0.6728
GPS,Urban Canyon,19.05,34.4,4,4.205,4.3556,0.3693
GPS,Urban Canyon,36.9,32.65,5,3.805,4.5487,0.7882
GPS,Open Sky,8.68,39.96,11,2.173,0.5062,0.1167
GPS,Open Sky,60.47,38.38,10,1.508,2.6279,0.3817
GLONASS,Open Sky,25.4,41.58,8,2.5,3.9439,0.2951
GPS,Open Sky,28.74,47.96,12,1.673,2.4548,0.1417
Galileo,Open Sky,44.62,46.31,10,1.332,1.1557,0.1678
GLONASS,Open Sky,54.33,41.09,13,1.0,2.7084,0.0407
Galileo,Urban Canyon,31.74,24.84,7,3.725,2.8697,0.5724
GPS,Urban Canyon,33.75,30.23,6,3.657,5.1322,0.6967
BeiDou,Urban Canyon,25.1,41.15,6,3.418,3.7718,0.8561
GLONASS,Open Sky,42.15,43.39,12,1.752,1.6721,0.1644
GLONASS,Urban Canyon,22.53,33.33,6,4.301,4.5853,0.5
GPS,Open Sky,31.96,38.41,14,1.502,0.1,0.206
GPS,Open Sky,46.72,36.96,12,2.312,2.2952,0.2324
BeiDou,Open Sky,29.46,31.0,12,1.479,1.7541,0.1847
Galileo,Open Sky,55.1,37.75,11,2.876,3.4318,0.1296
GPS,Open Sky,27.19,44.21,13,1.944,1.2223,0.0283
Galileo,Urban Canyon,39.02,34.05,5,1.514,4.1762,0.6803
GLONASS,Urban Canyon,7.69,41.23,11,4.35,4.9907,0.5672
BeiDou,Urban Canyon,15.71,29.49,5,5.001,4.956,0.603
GPS,Open Sky,42.07,41.76,13,2.321,1.0797,0.1298
BeiDou,Urban Canyon,21.04,30.94,9,4.185,3.7144,0.5297
GPS,Urban Canyon,35.46,28.08,4,2.813,6.2314,0.6909
Galileo,Open Sky,41.76,36.71,13,1.432,0.4314,0.3297
GLONASS,Urban Canyon,11.07,38.71,8,2.691,4.5957,0.4113
GPS,Open Sky,34.92,37.61,10,1.075,2.2257,0.0758
GPS,Open Sky,21.03,35.3,10,1.392,0.9678,0.2565
Galileo,Open Sky,61.35,45.59,10,1.093,1.3466,0.0587
BeiDou,Open Sky,48.01,44.11,12,1.739,0.9977,0.0974
Galileo,Open Sky,44.67,36.29,14,2.62,1.6159,0.2829
BeiDou,Open Sky,21.88,41.21,7,2.188,1.8066,0.2918
BeiDou,Open Sky,46.14,38.72,14,2.155,1.4469,0.1528
Galileo,Urban Canyon,33.87,31.94,9,6.394,5.6873,0.5036
GLONASS,Open Sky,43.65,41.71,11,1.866,2.2914,0.119
GPS,Open Sky,75.61,39.66,10,1.17,2.3093,0.0282
GPS,Open Sky,17.04,40.2,11,2.572,2.0792,0.1513
BeiDou,Urban Canyon,17.8,35.74,5,1.927,3.5827,0.6033
GLONASS,Urban Canyon,22.08,27.67,8,5.898,6.4891,0.3931
GPS,Urban Canyon,34.5,37.63,8,3.655,3.4022,0.8657
Galileo,Open Sky,46.91,48.57,10,1.941,0.1,0.2576
GLONASS,Open Sky,50.61,46.4,13,1.332,1.6814,0.2051
BeiDou,Urban Canyon,44.56,41.32,10,2.797,5.3257,0.5618
GLONASS,Open Sky,51.38,43.31,10,2.103,2.7357,0.0275
Galileo,Urban Canyon,17.58,35.99,11,2.152,2.7974,0.5439
Galileo,Urban Canyon,25.64,41.12,5,2.468,3.4531,0.5436
Galileo,Open Sky,46.5,55.0,12,2.572,0.8707,0.0342
GLONASS,Urban Canyon,13.5,41.24,7,6.503,7.3132,0.9188
BeiDou,Urban Canyon,36.81,30.88,7,1.5,4.5644,0.4739
Galileo,Open Sky,48.79,36.59,13,1.28,0.1,0.3038
GPS,Open Sky,34.68,47.28,13,2.6,1.9951,0.0958
GPS,Open Sky,51.81,37.8,12,2.17,2.4606,0.2507
GLONASS,Urban Canyon,25.08,34.39,7,2.224,4.1151,0.6289
BeiDou,Open Sky,42.09,43.4,9,2.482,0.8569,0.2259
GPS,Open Sky,44.53,50.75,13,2.208,0.5114,0.0464
GPS,Urban Canyon,13.15,34.49,8,3.114,4.6488,0.5861
Galileo,Open Sky,43.12,43.67,12,1.101,0.7648,0.0533
GPS,Open Sky,36.62,48.83,12,2.139,0.3622,0.2573
BeiDou,Urban Canyon,33.97,36.84,4,3.554,5.027,0.5933
GPS,Open Sky,42.72,47.08,11,1.357,0.1027,0.2945
GPS,Open Sky,26.19,45.35,12,1.284,0.6049,0.0431
BeiDou,Open Sky,46.57,36.58,10,2.123,1.7033,0.1709
GPS,Open Sky,51.16,40.29,11,1.634,2.6765,0.2108
GPS,Open Sky,27.95,40.35,11,1.87,1.0055,0.3514
GPS,Urban Canyon,34.88,33.99,7,5.524,5.6843,0.508
GPS,Urban Canyon,31.11,35.65,7,3.435,5.0836,0.7924
GPS,Open Sky,61.96,53.01,12,2.05,1.4819,0.1125
GPS,Urban Canyon,25.84,33.93,6,4.019,4.4108,0.8274
GPS,Urban Canyon,22.98,34.04,10,4.113,4.5377,0.7739
GPS,Urban Canyon,20.82,32.8,9,2.916,3.1392,0.8603
Galileo,Urban Canyon,12.47,32.46,7,4.349,5.1271,0.7606
GLONASS,Urban Canyon,34.34,22.83,11,4.128,5.149,0.9084
Galileo,Urban Canyon,18.7,33.91,7,4.222,6.0234,0.451
GPS,Open Sky,43.56,41.66,13,2.619,0.1,0.3758
Galileo,Open Sky,32.34,35.59,12,2.372,0.1484,0.0293
BeiDou,Open Sky,71.97,32.45,7,1.423,2.7172,0.4801
BeiDou,Open Sky,36.47,42.95,11,1.531,0.9559,0.1152
GPS,Urban Canyon,39.04,41.92,7,3.649,2.7165,0.3945
GPS,Open Sky,41.81,47.83,9,1.735,2.4935,0.1083
GPS,Open Sky,27.61,39.04,11,1.603,0.3463,0.2293
GPS,Open Sky,39.11,40.09,13,2.25,0.1,0.1672
Galileo,Open Sky,55.35,41.65,13,2.417,1.9442,0.0508
Galileo,Urban Canyon,31.46,40.12,8,3.279,4.4349,0.4323
GPS,Urban Canyon,42.42,35.62,10,3.547,4.7825,0.7427
Galileo,Open Sky,59.65,45.0,9,2.305,1.4581,0.0821
Galileo,Open Sky,55.92,45.07,14,2.209,0.1,0.0213
GPS,Open Sky,56.15,40.89,12,2.078,1.5509,0.0694
BeiDou,Open Sky,54.09,40.99,12,1.194,1.5857,0.0615
GPS,Urban Canyon,30.46,36.49,10,2.918,4.1227,0.2046
BeiDou,Urban Canyon,41.68,35.48,7,3.225,4.096,0.6618
GPS,Open Sky,51.87,43.1,15,1.035,2.6146,0.2286
BeiDou,Open Sky,48.15,45.22,11,2.791,1.5601,0.0963
BeiDou,Urban Canyon,13.93,34.81,6,2.087,2.6136,0.6871
BeiDou,Urban Canyon,32.85,35.02,7,1.742,5.4911,0.5753
BeiDou,Open Sky,42.08,41.79,16,1.62,1.3309,0.1597
GLONASS,Open Sky,75.43,39.7,12,1.841,1.7792,0.2271
GLONASS,Open Sky,37.75,47.95,9,2.373,2.4358,0.2821
GLONASS,Urban Canyon,15.58,39.71,10,3.136,5.7343,0.6159
GPS,Open Sky,26.87,40.2,11,2.487,1.0118,0.0539
Galileo,Open Sky,29.83,43.82,7,1.298,2.428,0.0238
Galileo,Urban Canyon,16.13,25.97,8,6.27,4.8367,0.327
BeiDou,Urban Canyon,18.11,23.78,5,4.467,5.6286,0.6645
Galileo,Open Sky,51.03,42.6,10,2.1,0.1844,0.2351
Galileo,Open Sky,30.75,36.64,10,3.069,1.8564,0.463
GLONASS,Open Sky,45.86,41.47,5,1.618,3.0009,0.0907
GPS,Urban Canyon,13.78,38.84,6,2.374,3.4822,0.5899
GPS,Open Sky,48.25,39.39,11,2.446,3.27,0.26
Galileo,Urban Canyon,24.03,25.82,8,2.845,4.1145,0.6882
Galileo,Urban Canyon,13.65,35.15,5,5.838,6.0063,0.8551
GPS,Open Sky,54.04,43.17,11,1.599,1.7315,0.2083
Galileo,Urban Canyon,28.97,35.18,9,3.023,1.4393,0.7791
Galileo,Open Sky,47.29,36.59,11,1.619,1.2793,0.2159
GPS,Open Sky,53.88,39.75,10,1.206,1.9452,0.0541
Galileo,Urban Canyon,42.43,40.83,6,4.369,5.6361,0.6692
GLONASS,Open Sky,53.59,40.09,11,1.491,2.9613,0.1381
GPS,Open Sky,36.22,39.04,13,1.835,3.4285,0.3073
BeiDou,Open Sky,55.53,40.7,13,2.006,2.1459,0.2736
BeiDou,Open Sky,41.24,43.12,11,1.774,1.9514,0.0351
Galileo,Open Sky,25.48,42.03,8,2.033,1.2085,0.0399
GPS,Urban Canyon,51.65,25.88,7,1.622,5.222,0.6287
Galileo,Urban Canyon,28.55,31.55,10,3.092,4.4012,0.5669
BeiDou,Urban Canyon,22.69,32.47,7,3.655,3.448,0.8877
GLONASS,Urban Canyon,29.64,29.24,8,4.333,5.3927,0.6069
BeiDou,Open Sky,24.55,48.56,14,2.029,1.5614,0.0613
Galileo,Urban Canyon,41.9,41.9,9,3.699,3.8858,0.5811
GLONASS,Open Sky,33.76,46.53,14,1.607,3.2904,0.0905
GPS,Open Sky,38.26,44.13,15,2.027,1.8262,0.1298
GLONASS,Urban Canyon,37.14,33.61,7,4.043,6.0825,0.3968
GPS,Open Sky,66.47,41.53,9,1.081,0.1,0.0371
GLONASS,Open Sky,36.37,34.03,9,2.091,0.2363,0.1689
BeiDou,Open Sky,51.94,47.88,13,2.008,0.2712,0.0202
GPS,Open Sky,67.92,40.28,9,2.37,1.7574,0.2615
GLONASS,Open Sky,37.31,45.57,10,2.716,2.2955,0.4982
GPS,Open Sky,38.0,43.05,8,1.31,2.7123,0.0626
GLONASS,Urban Canyon,21.41,43.97,7,4.148,4.2362,0.8008
GPS,Open Sky,58.35,44.33,14,2.211,0.1,0.3678
BeiDou,Open Sky,47.84,44.26,14,1.164,1.7673,0.2911
GPS,Open Sky,60.93,36.89,12,1.123,0.1591,0.0978
BeiDou,Urban Canyon,31.74,38.07,9,4.253,4.6173,0.491
BeiDou,Open Sky,30.1,45.56,8,1.452,2.669,0.0716
Galileo,Open Sky,43.92,37.3,6,2.677,0.1,0.3411
GLONASS,Open Sky,64.47,40.33,13,1.599,0.3296,0.1971
GLONASS,Urban Canyon,12.58,40.19,7,1.693,6.1159,0.6255
BeiDou,Urban Canyon,32.31,33.32,6,4.96,4.4689,0.7183
GPS,Urban Canyon,30.49,43.23,7,2.36,1.9708,0.3047
Galileo,Urban Canyon,20.14,36.83,10,3.753,1.6831,0.5116
GPS,Open Sky,58.44,47.7,11,1.561,1.1807,0.0112
GLONASS,Open Sky,62.8,42.4,9,1.277,0.9512,0.135
GPS,Open Sky,42.01,44.62,14,1.598,1.3959,0.1143
Galileo,Open Sky,62.27,50.53,12,1.888,1.3489,0.0566
Galileo,Open Sky,62.66,51.63,14,1.813,0.1,0.3368
Galileo,Open Sky,27.7,44.25,13,1.508,3.7745,0.0886
Galileo,Open Sky,40.12,39.06,8,2.025,3.0943,0.0444
GLONASS,Urban Canyon,38.7,34.4,8,2.698,5.7321,0.6263
GLONASS,Open Sky,31.39,48.05,8,2.343,1.7206,0.2016
Galileo,Urban Canyon,22.09,29.63,6,3.002,5.9564,0.5978
Galileo,Urban Canyon,20.92,36.72,6,3.041,5.082,0.6208
BeiDou,Open Sky,41.04,39.8,8,1.045,1.895,0.2679
GPS,Open Sky,51.31,42.64,9,1.422,1.8116,0.182
GPS,Urban Canyon,39.2,37.39,6,4.669,4.4646,0.9642
GPS,Urban Canyon,33.64,25.14,6,4.012,5.6915,0.5993
GLONASS,Open Sky,38.13,42.37,9,2.377,2.246,0.2177
Galileo,Open Sky,59.46,34.59,12,1.319,0.5133,0.0093
GLONASS,Urban Canyon,29.15,35.4,7,2.509,5.0282,0.5565
GLONASS,Urban Canyon,43.38,43.4,6,3.629,6.6073,0.3835
GPS,Open Sky,61.99,38.49,10,2.056,1.1796,0.2535
BeiDou,Open Sky,62.86,42.93,11,3.623,3.1761,0.1723
GLONASS,Urban Canyon,34.81,31.13,5,6.047,4.6918,0.4409
GPS,Open Sky,40.54,42.04,7,1.209,0.357,0.0139
Galileo,Urban Canyon,24.29,36.28,5,2.41,5.012,0.8141
GPS,Open Sky,35.08,40.23,11,1.0,0.1,0.3509
GPS,Open Sky,38.86,42.6,10,2.629,1.0493,0.1734
GPS,Open Sky,38.7,38.73,9,1.24,1.7495,0.1046
BeiDou,Open Sky,42.53,45.26,12,1.789,2.0678,0.1256
Galileo,Urban Canyon,26.09,32.56,7,3.462,4.8896,0.6083
Galileo,Open Sky,44.05,38.3,8,2.186,1.4875,0.2804
GLONASS,Urban Canyon,9.54,27.94,12,5.73,5.9559,0.5555
Galileo,Open Sky,40.24,38.63,12,1.684,0.8627,0.3468
BeiDou,Urban Canyon,6.67,28.25,8,2.238,5.1382,0.7646
GLONASS,Urban Canyon,7.81,31.57,7,3.487,6.2328,0.373
Galileo,Urban Canyon,16.68,37.87,7,2.529,3.738,0.7586
Galileo,Open Sky,46.12,40.35,8,1.706,1.3201,0.0661
BeiDou,Urban Canyon,5.0,32.14,8,2.898,6.5971,0.8733
GLONASS,Open Sky,17.07,44.83,12,2.954,1.8983,0.193
BeiDou,Urban Canyon,17.45,25.32,7,4.732,5.3879,0.7577
GPS,Open Sky,33.48,40.12,11,1.465,1.6501,0.1615
